refdate,demo_age,demo_gender,demo_marital_status,demo_schooling,demo_residence_time,demo_residence_kind,job_formal,job_retired,job_employment_time,job_kind,job_employment_experience,income_social_benefits,income_salary,debt_profile,debt_prev_history,debt_bureau_score,target
2015-08-24,30,1,1,1,61,1,0,0,0,4,0.0,0,3103.5,5,0,0.9138,1
2015-08-10,27,0,1,4,240,1,0,0,5,2,1.0,0,2689.7,4,0,0.9076,0
2015-08-22,24,0,1,4,54,1,1,0,65,8,1.0,0,1551.75,2,0,0.916,0
2015-08-10,47,0,1,4,180,1,1,0,18,4,1.0,0,2586.25,4,0,0.9498,0
2015-08-29,21,0,1,4,250,1,0,0,4,2,1.0,0,1241.4,5,0,0.6890000000000001,0
2015-08-11,22,0,6,4,48,1,1,0,0,2,0.0,0,1551.75,2,0,0.8838,1
2015-08-06,32,1,1,4,72,1,1,0,82,2,1.0,0,2586.25,5,0,0.9156,0
2015-08-11,51,1,1,0,601,1,0,0,0,4,0.0,0,6744.94,3,0,0.9378,0
2015-08-11,19,-1,1,5,36,2,0,0,41,4,1.0,0,1034.5,2,0,0.8109999999999999,0
2015-08-07,19,0,1,5,120,2,1,0,18,2,1.0,0,1655.2,3,1,0.639,1
2015-08-21,17,-1,1,0,36,1,0,0,0,4,0.0,0,1034.5,0,0,,0
2015-08-18,36,1,2,3,53,2,1,0,0,4,0.0,0,2069.0,0,0,0.863,0
2015-08-28,41,0,2,0,36,1,0,0,0,4,0.0,0,1034.5,2,0,0.9393,0
2015-08-06,35,1,1,0,121,1,0,0,0,4,0.0,0,2586.25,4,0,0.9117,0
2015-08-10,32,1,1,0,72,5,1,0,30,2,1.0,0,3103.5,5,0,0.7222,0
2015-08-22,30,0,2,5,24,2,1,0,0,4,0.0,0,1551.75,0,0,0.8227,1
2015-08-14,21,1,1,4,180,1,0,0,0,4,0.0,0,1034.5,5,0,0.884,0
2015-08-21,43,1,2,4,120,1,0,0,246,4,1.0,0,3620.75,0,0,0.8641,0
2015-08-25,50,1,2,2,240,1,1,0,0,8,0.0,0,1551.75,3,0,0.8875,0
2015-08-24,50,0,1,4,60,1,1,0,39,2,1.0,0,1241.4,4,0,0.9497,0
2015-08-19,20,1,1,4,60,1,0,0,39,2,1.0,0,1241.4,-1,0,0.7994,0
2015-08-09,36,0,1,4,180,1,0,0,9,2,1.0,0,1768.995,4,0,0.8824,0
2015-08-17,26,0,2,4,120,1,0,0,168,2,1.0,0,1034.5,5,0,0.8815,0
2015-08-29,48,0,1,4,121,1,0,0,55,4,1.0,0,1241.4,0,0,0.7526,0
2015-08-11,19,1,1,2,12,2,0,0,30,2,1.0,0,1241.4,0,0,0.7991,0
2015-08-10,38,0,1,3,60,1,0,0,0,4,0.0,0,1344.85,0,0,0.8190000000000001,1
2015-08-20,43,0,2,1,190,1,1,0,267,8,1.0,0,6207.0,4,1,0.7741,1
2015-08-04,18,1,1,4,24,2,0,0,13,2,1.0,0,1241.4,4,0,0.8058,0
2015-08-09,27,1,1,5,36,2,1,0,55,2,1.0,0,3103.5,3,0,0.8478,0
2015-08-14,17,-1,6,4,205,1,0,0,30,2,1.0,0,1000.3615,-1,0,0.7104,1
2015-08-17,26,0,1,4,25,1,0,0,66,5,1.0,0,2275.9,4,0,0.8220000000000001,0
2015-08-06,52,1,1,4,121,1,1,0,0,2,0.0,0,1831.065,3,0,0.6859999999999999,0
2015-08-04,20,1,1,4,125,1,0,0,7,2,1.0,0,1241.4,-1,0,,0
2015-08-21,35,0,2,4,99,2,0,0,15,2,1.0,0,1241.4,2,0,0.8495,0
2015-08-07,18,1,1,0,12,2,0,0,0,9,0.0,0,1241.4,4,0,0.8344,0
2015-08-23,68,0,2,3,600,1,0,0,0,1,0.0,0,1551.75,3,0,0.9637,0
2015-08-07,17,-1,1,4,62,2,0,0,0,4,0.0,0,1965.55,-1,0,,1
2015-08-31,33,0,2,4,108,1,1,0,56,7,1.0,1,1862.1,4,0,0.7863,0
2015-08-30,30,0,1,4,69,1,1,0,28,4,1.0,0,1344.85,0,0,0.919,0
2015-08-09,58,1,2,4,182,2,1,0,425,8,1.0,0,4138.0,3,0,0.7134,0
2015-08-20,23,0,1,4,120,1,0,0,18,4,1.0,0,1241.4,5,0,0.858,0
2015-08-18,60,0,2,0,240,1,1,0,0,1,0.0,0,5172.5,3,0,0.9818,0
2015-08-11,33,0,2,4,27,2,1,0,19,2,1.0,0,1322.091,4,0,0.8084,0
2015-08-20,29,0,1,1,156,1,1,0,29,2,1.0,0,1551.75,3,0,0.841,0
2015-08-10,43,0,2,4,492,1,0,0,0,4,0.0,1,1241.4,2,0,0.8916,0
2015-08-09,33,0,2,1,180,1,0,0,6,2,1.0,0,1758.65,4,1,0.8036,0
2015-08-11,48,0,2,4,99,1,0,0,51,4,1.0,0,1241.4,3,0,0.9262,0
2015-08-18,21,1,2,3,240,1,0,0,4,2,1.0,0,1241.4,-1,0,0.7962,1
2015-08-28,44,1,2,3,367,1,0,0,0,4,0.0,0,1551.75,2,0,0.9383,0
2015-08-11,25,1,2,3,120,1,1,0,6,2,1.0,0,1551.75,4,0,0.8183,0
2015-08-10,23,0,1,1,24,1,0,0,0,4,0.0,0,969.3265,4,0,0.8135,0
2015-08-08,49,0,2,4,182,2,1,0,0,4,0.0,0,2586.25,5,1,0.7662,0
2015-08-17,45,1,2,4,29,2,1,0,360,2,1.0,0,3103.5,5,0,0.9073,0
2015-08-12,36,1,6,2,24,2,1,0,222,4,1.0,0,1655.2,5,0,0.7754,0
2015-08-09,38,1,1,5,60,1,1,0,222,4,1.0,0,3000.05,4,0,0.7829999999999999,0
2015-08-18,18,0,1,5,360,1,1,0,30,2,1.0,0,1034.5,3,0,0.8288,1
2015-08-21,40,0,1,4,19,2,0,0,9,2,1.0,0,1263.68313,3,0,0.7464,0
2015-08-17,23,1,1,2,14,4,1,0,0,2,0.0,0,1758.65,0,0,0.727,1
2015-08-24,51,0,5,3,360,1,0,0,15,8,1.0,1,986.913,2,0,0.9343,0
2015-08-02,34,1,1,4,37,1,0,0,0,2,0.0,1,1427.61,0,0,0.9013,0
2015-08-30,38,1,1,4,180,1,0,0,0,4,0.0,0,8276.0,3,0,0.9517,0
2015-08-14,51,1,1,4,69,1,0,0,30,4,1.0,0,1189.675,3,0,0.9326,0
2015-08-14,51,1,6,4,480,1,1,0,0,4,0.0,0,3620.75,2,0,0.8804,1
2015-08-07,47,0,2,5,144,1,1,0,99,2,1.0,0,1278.642,3,0,0.8603,0
2015-08-25,55,1,5,4,249,1,1,0,0,4,0.0,0,1551.75,3,0,0.8215,0
2015-08-29,28,0,1,4,240,1,0,0,7,4,1.0,0,1551.75,5,1,0.728,0
2015-08-11,23,1,2,1,6,2,1,0,0,8,0.0,0,4138.0,3,0,0.8018,0
2015-08-14,19,1,1,4,12,2,0,0,9,2,1.0,0,1551.75,4,0,0.8956,0
2015-08-20,20,0,1,4,63,1,0,0,54,4,1.0,0,1241.4,4,0,,0
2015-08-06,32,0,2,1,60,1,0,0,42,7,1.0,0,6207.0,2,0,0.8735,0
2015-08-13,22,0,1,5,121,1,1,0,19,2,1.0,0,1241.4,5,0,0.868,0
2015-08-23,41,1,1,3,84,1,0,0,24,2,1.0,0,1862.1,4,0,0.7883,1
2015-08-19,51,0,2,1,72,2,0,0,0,4,0.0,1,1034.5,5,0,0.9057,0
2015-08-06,32,0,2,4,36,2,0,0,77,4,1.0,1,1034.5,0,0,0.7894,0
2015-08-12,34,0,1,1,24,2,1,0,24,2,1.0,0,4138.0,0,1,0.7418,0
2015-08-09,39,1,1,4,456,1,1,0,125,2,1.0,0,2586.25,4,0,0.9585,0
2015-08-22,25,1,1,4,17,2,1,0,42,8,1.0,0,1368.6435,2,0,0.8189,0
2015-08-25,54,0,1,4,204,1,1,0,329,2,1.0,0,1973.826,4,0,0.8653,0
2015-08-14,35,1,2,4,288,1,0,0,0,4,0.0,0,1913.825,2,0,0.9294,0
2015-08-28,48,0,1,4,306,1,1,0,98,4,1.0,0,1034.5,0,1,0.7072,0
2015-08-10,70,0,4,0,61,1,0,0,0,1,0.0,0,986.913,4,0,0.8622,0
2015-08-16,37,1,2,4,75,1,1,0,0,2,0.0,0,1448.3,4,0,0.9589,0
2015-08-16,39,0,2,3,245,1,1,0,9,2,1.0,0,1655.2,4,0,0.8973,0
2015-08-13,58,1,2,0,300,1,0,0,0,1,0.0,0,1137.95,2,0,0.9297,0
2015-08-25,31,0,1,5,240,1,0,0,11,2,1.0,0,1241.4,3,0,0.8958,0
2015-08-12,80,0,1,1,240,1,0,0,162,1,1.0,0,1448.3,2,0,0.9296,0
2015-08-16,27,0,1,4,13,1,1,0,111,4,1.0,0,1034.5,4,0,0.8078,0
2015-08-13,53,0,4,2,360,1,1,0,326,2,1.0,0,1448.3,0,0,0.8893,1
2015-08-29,20,-1,1,4,58,1,0,0,38,2,1.0,0,1551.75,-1,0,0.7811,0
2015-08-24,32,0,1,4,49,2,0,0,0,4,0.0,1,1551.75,5,0,0.913,0
2015-08-22,37,1,2,1,36,1,1,0,52,8,1.0,0,7241.5,0,0,0.7878,1
2015-08-09,40,-1,2,4,336,1,0,0,41,7,1.0,0,12414.0,4,0,0.9146,0
2015-08-31,34,0,1,4,180,1,0,0,0,4,0.0,0,2069.0,3,0,0.7427,0
2015-08-08,34,0,1,4,420,1,1,0,1,2,1.0,0,1241.4,5,0,0.8242,0
2015-08-18,66,0,5,2,528,1,0,0,0,1,0.0,1,1032.431,5,1,0.83,0
2015-08-20,36,0,1,4,48,1,0,0,0,4,0.0,1,1034.5,4,0,0.8772,0
2015-08-27,33,0,2,4,240,1,1,0,102,4,1.0,0,5172.5,3,0,0.9629,0
2015-08-31,19,0,1,4,60,1,0,0,18,3,1.0,0,1137.95,5,0,0.7936,0
2015-08-08,33,0,2,1,149,1,1,0,51,8,1.0,0,1448.3,3,0,0.8946,0
2015-08-06,19,1,1,4,25,2,1,0,13,2,1.0,0,1000.3615,0,0,0.7171,0
2015-08-11,51,0,1,1,624,1,0,0,172,8,1.0,0,6207.0,3,0,0.8495,0
2015-08-06,19,1,1,4,12,1,1,0,0,4,0.0,0,1241.4,5,0,0.8282,0
2015-08-21,49,0,1,3,120,1,0,0,0,4,0.0,0,1034.5,3,0,0.8763,0
2015-08-31,32,0,1,4,181,1,0,0,0,4,0.0,0,2896.6,5,0,0.9189,0
2015-08-21,69,1,2,3,360,1,0,1,63,1,1.0,0,1034.5,2,0,0.944,0
2015-08-31,24,0,1,5,2,2,0,0,0,4,0.0,0,2069.0,4,0,0.8426,1
2015-08-07,24,0,1,1,132,1,0,0,0,4,0.0,0,2586.25,5,0,0.8303,0
2015-08-06,30,0,1,4,132,1,0,0,32,2,1.0,0,2069.0,4,0,0.7758,0
2015-08-27,29,0,2,4,60,1,1,0,0,4,0.0,0,2069.0,3,0,0.9023,0
2015-08-17,17,1,1,1,127,1,0,0,66,4,1.0,0,1241.4,-1,0,0.7937,0
2015-08-12,43,1,2,3,180,1,0,0,3,2,1.0,0,2689.7,2,0,0.7236,0
2015-08-08,19,0,1,4,12,2,0,0,1,2,1.0,0,1551.75,5,0,0.8026,1
2015-08-27,47,0,4,4,25,1,0,1,11,2,1.0,0,1241.4,5,0,0.8995,1
2015-08-11,38,1,1,1,240,1,0,0,0,4,0.0,0,1551.75,5,0,0.9037,0
2015-08-18,34,-1,2,4,120,1,0,0,42,2,1.0,0,1344.85,5,0,0.8275,0
2015-08-18,18,1,1,4,230,1,0,0,17,2,1.0,0,1241.4,4,0,0.7891,0
2015-08-06,27,0,6,4,84,1,0,0,33,2,1.0,0,1034.5,2,0,0.9016,0
2015-08-28,56,0,1,4,361,1,0,0,0,4,0.0,0,1241.4,2,0,0.8875,0
2015-08-06,39,1,2,4,84,1,0,0,19,2,1.0,0,1137.95,3,0,0.9315,0
2015-08-10,21,1,1,5,180,1,0,0,17,4,1.0,0,1034.5,5,0,0.8592,0
2015-08-29,45,0,1,4,241,1,0,0,95,4,1.0,0,1034.5,5,0,0.8915,0
2015-08-14,45,0,1,4,120,1,0,0,219,2,1.0,1,2069.0,3,1,0.7649,0
2015-08-08,45,0,2,5,360,1,0,0,0,5,0.0,0,1101.7425,2,0,0.9008,0
2015-08-09,32,1,2,4,60,1,1,0,222,4,1.0,0,2069.0,3,1,0.8022,1
2015-08-24,63,0,2,3,384,1,0,0,0,1,0.0,0,982.775,2,0,0.9145,0
2015-08-02,59,0,4,4,50,1,0,0,27,4,1.0,0,1655.2,-1,0,0.9024,0
2015-08-13,19,1,1,4,36,2,0,0,1,2,1.0,0,1551.75,5,0,0.7761,0
2015-08-15,36,1,6,3,60,2,1,0,211,2,1.0,0,1551.75,5,0,0.9219,0
2015-08-20,52,0,2,4,249,1,1,0,0,4,0.0,0,1551.75,0,0,0.8047,1
2015-08-29,17,-1,1,1,180,1,0,0,38,4,1.0,0,1551.75,-1,0,,0
2015-08-06,22,1,2,4,120,1,1,0,27,2,1.0,0,1344.85,4,0,0.8027,0
2015-08-07,28,0,1,1,240,1,0,0,101,4,1.0,0,3103.5,4,0,0.9075,0
2015-08-09,40,1,1,4,72,1,1,0,5,2,1.0,0,1128.6395,5,0,0.7725,1
2015-08-26,68,0,4,4,62,1,0,1,102,1,1.0,0,2172.45,2,1,0.7632,1
2015-08-21,35,1,1,4,364,1,1,0,42,4,1.0,0,3931.1,5,0,0.8679,0
2015-08-22,47,0,2,0,60,1,0,0,99,4,1.0,1,1551.75,3,0,0.8499,0
2015-08-13,38,0,1,4,132,1,1,0,0,4,0.0,0,2069.0,3,0,0.8517,0
2015-08-07,56,0,2,4,96,1,0,0,403,4,1.0,0,2069.0,3,0,0.9613,0
2015-08-30,43,0,1,4,56,1,0,0,42,2,1.0,0,986.913,2,1,0.6695,1
2015-08-24,66,1,2,4,172,1,0,0,172,4,1.0,0,1862.1,3,0,0.9382,0
2015-08-11,23,1,1,2,240,1,0,0,18,2,1.0,0,1107.9495,4,0,0.7891,0
2015-08-17,65,1,1,4,12,1,0,0,0,1,0.0,0,1034.5,3,0,0.8085,0
2015-08-18,21,1,1,2,24,2,0,0,13,2,1.0,0,1344.85,0,0,0.8563,1
2015-08-11,20,1,1,2,120,1,0,0,27,4,1.0,0,1551.75,5,0,0.7889,0
2015-08-18,55,1,1,4,65,1,1,0,62,2,1.0,0,1862.1,0,1,0.7656,0
2015-08-24,21,-1,1,4,120,1,0,0,40,4,1.0,0,1448.3,-1,0,,0
2015-08-17,53,0,2,3,360,1,0,0,126,1,1.0,0,1034.5,5,0,0.8816,0
2015-08-11,42,0,1,3,120,2,0,0,26,4,1.0,0,2896.6,0,0,0.8334,0
2015-08-08,44,0,1,2,120,2,0,0,98,4,1.0,1,1241.4,5,0,0.9293,0
2015-08-12,33,0,5,5,120,1,1,0,125,4,1.0,0,2586.25,4,0,0.9104,0
2015-08-21,19,0,1,4,74,1,0,0,5,2,1.0,0,990.0165,0,0,0.7995,0
2015-08-09,57,0,1,4,180,1,0,0,0,4,0.0,0,1241.4,5,0,0.9566,0
2015-08-25,34,0,1,4,96,1,1,0,57,2,1.0,0,1241.4,5,0,0.7676,0
2015-08-11,38,1,1,4,24,1,1,0,1,2,1.0,0,4655.25,4,0,0.914,0
2015-08-10,28,0,5,4,122,1,1,0,0,8,0.0,0,2275.9,4,0,0.6458,1
2015-08-23,38,1,2,2,14,2,1,0,26,2,1.0,0,1086.225,2,0,0.8009999999999999,0
2015-08-23,54,1,2,3,180,1,0,0,0,4,0.0,0,1551.75,4,0,0.8509,0
2015-08-04,25,1,2,4,288,1,1,0,57,2,1.0,0,1551.75,0,1,0.7657,0
2015-08-20,44,0,2,1,72,1,0,0,5,2,1.0,0,3703.51,0,0,0.8605,0
2015-08-09,41,0,5,1,197,1,1,0,116,8,1.0,0,8916.510675,0,0,0.8609,0
2015-08-07,19,1,1,3,264,1,0,0,3,2,1.0,0,1448.3,0,0,0.8435,0
2015-08-10,22,1,1,4,12,1,1,0,39,4,1.0,0,3724.2,3,0,0.8316,0
2015-08-14,20,0,1,4,228,1,1,0,4,7,1.0,0,972.43,2,0,0.7353,1
2015-08-09,32,1,2,4,72,1,1,0,16,2,1.0,0,1965.55,0,0,0.8402,0
2015-08-23,18,-1,1,4,15,1,0,0,16,4,1.0,0,1034.5,-1,0,,0
2015-08-20,32,0,2,1,74,1,1,0,38,1,1.0,1,1168.985,5,0,0.8351,0
2015-08-11,63,1,7,1,49,1,0,1,43,1,1.0,0,2586.25,5,0,0.9616,0
2015-08-20,20,1,1,4,84,1,1,0,11,2,1.0,0,1551.75,2,1,0.7138,1
2015-08-11,33,0,6,1,24,4,1,0,0,9,0.0,0,1862.1,4,0,0.947,0
2015-08-13,26,0,1,4,40,2,1,0,7,2,1.0,0,1551.75,4,0,0.8703,0
2015-08-11,25,0,1,4,24,1,1,0,58,2,1.0,0,1163.8125,4,0,0.7075,0
2015-08-08,17,-1,1,3,228,1,0,0,0,4,0.0,0,1241.4,-1,0,,1
2015-08-14,20,0,1,5,180,1,1,0,66,2,1.0,0,1448.3,3,0,0.8704,1
2015-08-18,25,0,1,1,317,1,1,0,26,2,1.0,0,1862.1,0,0,0.8117,0
2015-08-20,25,0,1,2,9,1,1,0,5,2,1.0,0,1137.95,0,0,0.7381,0
2015-08-16,33,0,1,4,180,1,0,0,54,4,1.0,0,1862.1,3,0,0.8868,0
2015-08-18,57,0,1,1,3,1,0,0,0,7,0.0,0,4138.0,4,0,0.97,0
2015-08-13,47,1,2,3,240,1,0,0,0,4,0.0,1,1448.3,5,0,0.8668,0
2015-08-23,25,1,1,4,60,1,0,0,6,2,1.0,0,966.223,3,0,0.8328,1
2015-08-05,18,0,1,4,234,1,0,0,11,2,1.0,0,1241.4,2,0,0.8238,0
2015-08-11,38,0,1,0,241,1,1,0,147,2,1.0,0,1165.8815,4,0,0.8317,0
2015-08-10,33,0,1,2,48,1,1,0,20,2,1.0,1,1241.4,0,0,0.8015,0
2015-08-10,29,0,2,1,50,1,1,0,65,2,1.0,0,1241.4,2,0,0.9191,0
2015-08-07,54,0,5,1,36,2,1,0,0,8,0.0,0,4138.0,2,0,0.9539,0
2015-08-18,50,0,2,2,324,1,0,0,127,4,1.0,1,1241.4,4,0,0.8876,0
2015-08-15,29,0,1,5,84,1,1,0,54,4,1.0,0,2586.25,3,0,0.7795,0
2015-08-10,43,0,1,4,528,1,1,0,270,2,1.0,0,1670.7175,2,1,0.7151,1
2015-08-10,27,0,1,4,72,1,1,0,66,2,1.0,0,1655.2,2,0,0.8904,1
2015-08-04,17,0,1,0,149,1,0,0,16,2,1.0,0,1241.4,0,0,0.7893,0
2015-08-23,45,1,1,1,240,1,1,0,39,2,1.0,0,1808.306,0,0,0.8459,0
2015-08-11,35,0,2,1,156,1,1,0,13,2,1.0,0,2069.0,3,0,0.8488,1
2015-08-29,56,1,1,1,361,1,1,1,422,2,1.0,0,6207.0,3,0,0.8263,0
2015-08-16,17,0,1,4,42,1,0,0,14,4,1.0,0,962.085,0,0,,1
2015-08-08,46,1,1,4,60,1,1,1,3,1,1.0,0,2379.35,3,1,0.8233,0
2015-08-31,52,1,2,2,228,1,1,0,170,2,1.0,0,3103.5,2,0,0.9675,0
2015-08-06,42,1,2,4,121,1,1,0,36,2,1.0,0,1862.1,0,1,0.7789,0
2015-08-04,29,0,1,4,96,2,1,0,63,4,1.0,1,1551.75,0,1,0.7027,1
2015-08-25,28,0,1,2,12,2,0,0,0,4,0.0,0,2586.25,0,0,0.8446,0
2015-08-15,40,0,2,1,12,1,0,0,63,4,1.0,0,2069.0,2,0,0.9761,0
2015-08-09,47,0,2,4,144,1,1,0,114,2,1.0,0,1551.75,0,0,0.8934,0
2015-08-11,50,1,2,2,252,1,0,0,393,4,1.0,0,3103.5,2,0,0.9657,0
2015-08-06,37,1,2,4,62,1,1,0,2,2,1.0,0,1134.8465,0,0,0.7423,0
2015-08-09,56,0,2,1,409,1,1,0,0,8,0.0,0,3103.5,3,1,0.8488,1
2015-08-24,35,1,1,4,360,1,1,0,138,2,1.0,0,2586.25,0,1,0.8089,0
2015-08-27,25,0,1,5,25,1,1,0,28,4,1.0,0,1034.5,4,0,0.7661,1
2015-08-29,32,0,1,4,120,1,1,0,54,4,1.0,0,1448.3,0,0,0.8093,0
2015-08-18,54,0,2,4,336,1,1,0,66,2,1.0,0,986.913,0,0,0.9026,0
2015-08-11,27,0,1,1,180,1,0,0,54,2,1.0,0,3103.5,4,0,0.6613,0
2015-08-16,42,1,2,4,60,1,1,0,63,4,1.0,0,2069.0,5,0,0.8945,0
2015-08-18,68,1,2,4,517,1,1,0,342,2,1.0,0,6207.0,2,0,0.9641,0
2015-08-06,58,1,5,4,249,1,0,0,0,4,0.0,0,1551.75,4,0,0.9031,0
2015-08-11,45,0,2,2,241,1,0,0,127,4,1.0,0,2069.0,4,0,0.8712,0
2015-08-18,38,0,2,4,243,1,1,0,59,4,1.0,0,1551.75,3,0,0.8652,0
2015-08-08,67,0,2,2,72,1,0,0,31,1,1.0,0,1551.75,4,0,0.9013,0
2015-08-08,21,0,1,5,24,2,0,0,0,4,0.0,0,1448.3,2,0,0.8507,0
2015-08-25,21,0,2,4,75,1,0,0,0,4,0.0,0,1034.5,2,0,0.7953,0
2015-08-03,38,1,6,3,25,1,1,0,28,4,1.0,0,1034.5,2,0,0.9231,0
2015-08-14,40,0,2,3,361,1,0,0,102,4,1.0,1,1034.5,3,0,0.8151,0
2015-08-07,22,1,1,4,145,5,0,0,0,4,0.0,0,1241.4,5,0,0.8697,0
2015-08-08,31,0,1,4,372,1,1,0,3,2,1.0,0,1065.535,5,0,0.9197,0
2015-08-06,34,0,1,1,300,1,1,0,12,2,1.0,0,1220.71,3,0,0.8151,0
2015-08-10,53,0,5,2,237,1,0,1,31,1,1.0,0,1344.85,3,0,0.8222,1
2015-08-18,20,1,1,4,48,1,0,0,30,2,1.0,0,1862.1,2,0,0.768,0
2015-08-29,34,0,2,4,37,4,0,0,34,4,1.0,1,1241.4,0,0,0.7593,0
2015-08-04,43,1,1,4,84,1,1,0,291,2,1.0,0,1965.55,2,0,0.9221,0
2015-08-13,44,0,6,4,181,1,0,0,0,4,0.0,1,1034.5,2,0,0.8482,0
2015-08-11,41,1,1,4,60,1,1,0,72,2,1.0,0,1112.0875,3,0,0.7004,1
2015-08-10,55,1,1,4,480,1,0,0,0,4,0.0,0,2482.8,0,0,0.7732,1
2015-08-17,19,1,1,3,36,2,0,0,16,2,1.0,0,1241.4,0,0,,1
2015-08-16,47,0,1,1,480,1,1,0,319,8,1.0,0,2586.25,4,0,0.9544,0
2015-08-27,30,0,1,2,84,1,0,0,82,2,1.0,0,2069.0,5,0,0.8740000000000001,0
2015-08-25,34,1,1,0,48,2,0,0,0,7,0.0,0,6207.0,5,0,0.8574,0
2015-08-30,22,1,1,4,241,1,0,0,102,4,1.0,0,1241.4,3,0,0.8544,0
2015-08-29,38,0,1,3,241,1,0,0,114,4,1.0,0,1013.81,2,0,0.9047,0
2015-08-06,55,1,2,4,120,1,0,0,54,1,1.0,0,1241.4,2,1,0.7104,0
2015-08-20,72,0,2,4,148,1,0,0,51,1,1.0,0,1034.5,5,0,0.953,0
2015-08-24,30,0,2,4,108,1,0,0,0,4,0.0,0,1344.85,5,0,0.8371,0
2015-08-25,26,1,2,1,65,1,1,0,77,2,1.0,0,3620.75,2,0,0.8287,0
2015-08-13,60,1,2,2,360,1,1,1,102,1,1.0,0,1344.85,4,0,0.9232,0
2015-08-22,34,1,2,2,242,1,1,0,66,2,1.0,0,1655.2,3,1,0.8436,0
2015-08-09,29,1,2,4,120,1,1,0,39,7,1.0,0,1034.5,2,0,0.9159,0
2015-08-11,23,-1,1,4,87,1,1,0,68,4,1.0,0,1241.4,2,0,0.883,0
2015-08-11,59,0,1,5,184,1,1,0,40,1,1.0,0,3620.75,2,0,0.9779,0
2015-08-25,18,1,2,4,120,2,1,0,13,2,1.0,0,2586.25,4,0,0.8022,0
2015-08-09,59,0,1,1,36,2,0,0,276,1,1.0,0,4138.0,5,0,0.9621,0
2015-08-30,28,0,2,1,18,2,1,0,0,8,0.0,0,1417.265,5,0,0.7893,0
